jetOrdinality,jetPT,jetEta,jetPhi,jetBScore,m3M,m3PT,m3Eta,m3Phi,m4M,m4PT,m4Eta,m4Phi,isStopMatched,isChiMatched,isOther
0,448.0,0.137725830078,-2.73681640625,0.0231628417969,828.652333821,455.143084403,-0.0410258442265,0.648314817003,1394.24719445,109.932390766,0.383656186215,2.03280113027,0,1,0
1,358.75,-0.4541015625,-0.685180664062,0.71728515625,828.652333821,455.143084403,-0.0410258442265,0.648314817003,1394.24719445,109.932390766,0.383656186215,2.03280113027,1,0,0
2,272.25,0.519775390625,1.42309570312,0.00554275512695,828.652333821,455.143084403,-0.0410258442265,0.648314817003,1394.24719445,109.932390766,0.383656186215,2.03280113027,0,1,0
3,236.875,0.00810813903809,1.3798828125,0.70166015625,828.652333821,455.143084403,-0.0410258442265,0.648314817003,1394.24719445,109.932390766,0.383656186215,2.03280113027,0,1,0
4,43.375,-0.300231933594,-2.5732421875,0.0810546875,828.652333821,455.143084403,-0.0410258442265,0.648314817003,1394.24719445,109.932390766,0.383656186215,2.03280113027,0,0,1
5,39.8125,2.0458984375,-0.857666015625,0.0298461914062,828.652333821,455.143084403,-0.0410258442265,0.648314817003,1394.24719445,109.932390766,0.383656186215,2.03280113027,0,0,1
0,501.25,0.796020507812,2.5,0.0479736328125,764.709587556,420.371882282,0.584258171246,-0.609855594587,1412.24965799,82.1796158476,2.84203199013,2.33696191802,0,1,0
1,420.25,0.7568359375,-0.300720214844,0.99609375,764.709587556,420.371882282,0.584258171246,-0.609855594587,1412.24965799,82.1796158476,2.84203199013,2.33696191802,1,0,0
2,187.125,0.0121841430664,-2.931640625,0.99951171875,764.709587556,420.371882282,0.584258171246,-0.609855594587,1412.24965799,82.1796158476,2.84203199013,2.33696191802,0,1,0
3,148.0,-0.5859375,-0.549438476562,0.0105361938477,764.709587556,420.371882282,0.584258171246,-0.609855594587,1412.24965799,82.1796158476,2.84203199013,2.33696191802,0,1,0
0,302.0,-0.0941772460938,0.357177734375,0.37158203125,711.322170765,187.240835704,2.51610461619,-2.74808122003,1230.98015108,115.083913086,2.97386070776,0.298041568303,1,0,0
1,268.5,0.5419921875,-3.001953125,0.9990234375,711.322170765,187.240835704,2.51610461619,-2.74808122003,1230.98015108,115.083913086,2.97386070776,0.298041568303,0,1,0
2,174.0,2.064453125,-1.435546875,0.0408935546875,711.322170765,187.240835704,2.51610461619,-2.74808122003,1230.98015108,115.083913086,2.97386070776,0.298041568303,0,1,0
3,154.5,1.48657226562,1.10424804688,0.021240234375,711.322170765,187.240835704,2.51610461619,-2.74808122003,1230.98015108,115.083913086,2.97386070776,0.298041568303,0,1,0
4,144.0,1.08911132812,-2.802734375,0.00298500061035,711.322170765,187.240835704,2.51610461619,-2.74808122003,1230.98015108,115.083913086,2.97386070776,0.298041568303,0,0,1
5,36.15625,0.375671386719,0.467041015625,0.0101165771484,711.322170765,187.240835704,2.51610461619,-2.74808122003,1230.98015108,115.083913086,2.97386070776,0.298041568303,0,0,1
0,422.75,0.396667480469,-2.5302734375,0.00456619262695,788.169289864,425.053071851,1.53317432241,0.631809111152,1358.46036554,8.98567156134,5.51041787441,1.9331769255,0,1,0
1,410.25,0.962280273438,-0.420593261719,0.66357421875,788.169289864,425.053071851,1.53317432241,0.631809111152,1358.46036554,8.98567156134,5.51041787441,1.9331769255,1,0,0
2,259.0,0.841918945312,1.177734375,0.9931640625,788.169289864,425.053071851,1.53317432241,0.631809111152,1358.46036554,8.98567156134,5.51041787441,1.9331769255,0,1,0
3,221.875,0.923828125,2.20068359375,0.00865173339844,788.169289864,425.053071851,1.53317432241,0.631809111152,1358.46036554,8.98567156134,5.51041787441,1.9331769255,0,1,0
4,52.03125,1.2763671875,-0.851928710938,0.0552368164062,788.169289864,425.053071851,1.53317432241,0.631809111152,1358.46036554,8.98567156134,5.51041787441,1.9331769255,0,0,1
0,612.0,-0.534790039062,2.16748046875,0.0244293212891,512.429776365,508.271727701,-0.732724343148,-1.15409618386,1326.55603004,144.253278854,-2.35047249856,2.84999904047,0,1,0
1,345.5,-0.493896484375,-0.6083984375,0.00742340087891,512.429776365,508.271727701,-0.732724343148,-1.15409618386,1326.55603004,144.253278854,-2.35047249856,2.84999904047,0,0,1
2,146.5,-1.337890625,-1.9521484375,0.99169921875,512.429776365,508.271727701,-0.732724343148,-1.15409618386,1326.55603004,144.253278854,-2.35047249856,2.84999904047,0,1,0
3,133.375,0.22998046875,-1.74609375,0.0269470214844,512.429776365,508.271727701,-0.732724343148,-1.15409618386,1326.55603004,144.253278854,-2.35047249856,2.84999904047,0,1,0
4,92.0,-0.231048583984,-0.105682373047,0.97119140625,512.429776365,508.271727701,-0.732724343148,-1.15409618386,1326.55603004,144.253278854,-2.35047249856,2.84999904047,1,0,0
5,39.15625,-0.560791015625,3.140625,0.0178833007812,512.429776365,508.271727701,-0.732724343148,-1.15409618386,1326.55603004,144.253278854,-2.35047249856,2.84999904047,0,0,1
0,490.0,0.115280151367,-2.24267578125,0.93603515625,748.3534224,321.440435581,0.450165500584,0.827922232977,1294.43009277,170.897221418,1.02036438526,-2.10885511912,1,0,0
1,258.0,1.05200195312,0.854736328125,0.95458984375,748.3534224,321.440435581,0.450165500584,0.827922232977,1294.43009277,170.897221418,1.02036438526,-2.10885511912,0,1,0
2,189.25,-0.540649414062,2.00439453125,0.0107192993164,748.3534224,321.440435581,0.450165500584,0.827922232977,1294.43009277,170.897221418,1.02036438526,-2.10885511912,0,1,0
3,181.875,-0.362121582031,-0.793334960938,0.00383377075195,748.3534224,321.440435581,0.450165500584,0.827922232977,1294.43009277,170.897221418,1.02036438526,-2.10885511912,0,1,0
0,444.25,0.431274414062,2.64404296875,0.0231781005859,766.963586526,210.706770604,-0.203347530802,-0.747384037599,1252.20977032,245.672073894,0.593250529319,2.85771976949,0,1,0
